정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
박촌마을입구,35671,3,204,3,204,0,6
박촌역,41309,16657,21575,16648,21575,9,1233
박촌역,41310,17289,11455,17289,11455,0,927
반달마을.법원.검찰청,55014,1471,4193,1471,4193,0,182
반도유보라,42904,426,1458,426,1458,0,60
반도유보라,42905,2416,445,2416,445,0,92
반도유보라,42963,2487,1182,2483,1182,4,118
반도유보라,42985,3420,1408,3420,1408,0,155
반디모텔,44126,6,0,6,0,0,0
반디모텔,44170,0,2,0,2,0,0
반찬단지,89426,201,162,201,162,0,11
반찬단지,89427,327,46,327,46,0,12
반포역,31034,262,2780,262,2780,0,98
반포역,31035,4019,93,4019,93,0,132
발전소삼거리,44115,37,56,36,56,1,3
밝게,43990,34,2,34,2,0,1
밝게,43991,1,36,1,36,0,1
밤나무골,43022,96,92,92,92,4,6
밤나무골,43023,153,78,153,78,0,7
방개마을,90141,54,10,43,10,11,2
방개마을,90142,2,18,0,18,2,0
방아머리,62008,249,23,249,23,0,8
방아머리,62032,55,133,55,133,0,6
방아머리선착장,62007,16,336,16,336,0,11
방아머리제1주차장,62031,25,291,25,291,0,10
방아머리제1주차장,62041,410,71,410,71,0,15
방죽골,39763,2183,2860,2173,2860,10,162
방죽골,39764,706,2107,706,2107,0,90
방죽말,43027,81,76,80,76,1,5
방죽말,43214,46,134,43,134,3,5
방죽삼거리,39173,391,1001,391,1001,0,44
방죽삼거리,39174,612,483,612,483,0,35
방죽삼거리,42681,1682,439,1678,439,4,68
방죽삼거리,42683,936,1591,936,1591,0,81
방촌공원,40419,3300,3088,3300,3088,0,206
방축삼거리,36159,652,358,652,358,0,32
방축삼거리,36190,83,15,83,15,0,3
방파제입구,35048,2,684,2,684,0,22
방화동도시개발11단지,25026,749,47,749,47,0,25
방화중학교,25008,3211,47,3211,47,0,105
방화중학교,25009,12,696,12,696,0,22
배다리,35186,11629,20034,11615,20034,14,1021
배다리삼거리,36006,14754,8070,14731,8070,23,736
배다리삼거리,36007,7143,11257,7108,11257,35,593
배다리청과물시장,35184,3967,2998,3938,2998,29,224
배다리헌책방거리,36158,567,652,567,652,0,39
배수지입구,42774,597,24,581,24,16,20
백두아파트,42632,9259,6766,9236,6766,23,516
백련사입구,43419,19,106,19,106,0,4
백련사입구,43808,110,7,106,7,4,3
백련산입구,35773,1,0,1,0,0,0
백련산입구,35778,1,20,1,20,0,0
백마장입구,40389,10621,2885,10619,2885,2,435
백마장입구,40390,2493,9889,2493,9889,0,399
백마장입구,40399,18809,19198,18799,19198,10,1226
백마장입구,40407,9643,9285,9637,9285,6,610
백병원(송림패션몰),36151,365,177,364,177,1,17
백사장회센터,62033,25,106,25,106,0,4
백사장회센터,62039,162,21,162,21,0,5
백산아파트,38112,3863,5046,3828,5046,35,287
백산아파트,38113,4696,4811,4685,4811,11,306
백산아파트,38328,1950,1640,1950,1640,0,115
백석고가(하이마트),42381,4999,4664,4998,4664,1,311
